כותרת,תנועה,מנה,"ס""ת",ח-ן נגדי,מפתח חשבון,ספק תקין ,שם חשבון נגדי,ת.אסמכ,ת.ערך,תאריך 3,אסמ',אסמ'2,פרטים,תמחיר,חובה / זכות (שקל),מפתח חשבון,שם חשבון,קוד מיון,שם קוד מיון
806459,1747426,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,09/02/2025,09/02/2025,09/02/2025,10025845,,FACEBK *AATMUJL2X2,,-949,80012,הוצאות פייסבוק,805,שיווק
806460,1747427,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,09/02/2025,09/02/2025,09/02/2025,11025845,,FACEBK *KXZGZHG2X2,,-1044,80012,הוצאות פייסבוק,805,שיווק
806461,1747428,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,10/02/2025,10/02/2025,10/02/2025,12025845,,FACEBK *WCGJAK82X2,,-1264,80012,הוצאות פייסבוק,805,שיווק
806462,1747429,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,10/02/2025,10/02/2025,10/02/2025,12025845,,FACEBK *M6TDFK42X2,,-1149,80012,הוצאות פייסבוק,805,שיווק
806463,1747430,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,11/02/2025,11/02/2025,11/02/2025,12025845,,FACEBK *HZZCYJL2X2,,-1391,80012,הוצאות פייסבוק,805,שיווק
806464,1747431,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,11/02/2025,11/02/2025,11/02/2025,13025845,,FACEBK *E4M35JG2X2,,-1531,80012,הוצאות פייסבוק,805,שיווק
806465,1747432,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,12/02/2025,12/02/2025,12/02/2025,14025845,,FACEBK *828U3KC2X2,,-1685,80012,הוצאות פייסבוק,805,שיווק
806466,1747433,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,13/02/2025,13/02/2025,13/02/2025,14025845,,FACEBK *G44S3KL2X2,,-1854,80012,הוצאות פייסבוק,805,שיווק
806467,1747434,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,15/02/2025,15/02/2025,15/02/2025,17025845,,FACEBK *GTXYBJG2X2,,-2244,80012,הוצאות פייסבוק,805,שיווק
806468,1747435,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,16/02/2025,16/02/2025,16/02/2025,18025845,,FACEBK *C6NQAKL2X2,,-2469,80012,הוצאות פייסבוק,805,שיווק
809878,1755719,9997,,50042,30068,META/ פייסבוק,הוצאות חניה,16/02/2025,16/02/2025,16/02/2025,845,,FACEBK *KC8ZCKYZW2,,-2232,80012,הוצאות פייסבוק,805,שיווק
806469,1747436,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,18/02/2025,18/02/2025,18/02/2025,19025845,,FACEBK *T3JS2KG9J2,,-5282.5,80012,הוצאות פייסבוק,805,שיווק
806470,1747437,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,18/02/2025,18/02/2025,18/02/2025,20025845,,FACEBK *5RF9XK42X2,,-2716,80012,הוצאות פייסבוק,805,שיווק
806471,1747438,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,25/02/2025,25/02/2025,25/02/2025,27025845,,FACEBK *4K9LSKL2X2,,-2988,80012,הוצאות פייסבוק,805,שיווק
806472,1747439,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,27/02/2025,27/02/2025,27/02/2025,28025845,,FACEBK *KC8ZCKYZW2,,-3238,80012,הוצאות פייסבוק,805,שיווק
806473,1747440,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,28/02/2025,28/02/2025,28/02/2025,2035845,,FACEBK *C7THFKYZW2,,-1006.02,80012,הוצאות פייסבוק,805,שיווק
806474,1747441,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,28/02/2025,28/02/2025,28/02/2025,2035845,,FACEBK *DVXGNKUZW2,,-3238,80012,הוצאות פייסבוק,805,שיווק
806476,1747443,9997,,50011,30068,META/ פייסבוק,הוצאות פרסום ושיווק,05/03/2025,05/03/2025,05/03/2025,70351383,,FACEBK *META VERIFIE,,-42.89,80012,הוצאות פייסבוק,805,שיווק
809878,1755718,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,16/02/2025,16/02/2025,16/02/2025,845,,FACEBK *KC8ZCKYZW2,,2232,50042,הוצאות חניה,802,משרד
806437,1747364,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,09/01/2025,09/01/2025,09/01/2025,12015845,,FACEBK *A3CNQJC9J2,,7700,50011,הוצאות פרסום ושיווק,805,שיווק
806438,1747365,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,13/01/2025,13/01/2025,13/01/2025,15015845,,FACEBK *67J8KJU9J2,,7700,50011,הוצאות פרסום ושיווק,805,שיווק
806439,1747366,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,18/01/2025,18/01/2025,18/01/2025,19015845,,FACEBK *XCAC6KC9J2,,6653.36,50011,הוצאות פרסום ושיווק,805,שיווק
806440,1747367,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,26/01/2025,26/01/2025,26/01/2025,28015845,,FACEBK *QCFNBJ4AJ2,,7700,50011,הוצאות פרסום ושיווק,805,שיווק
806441,1747368,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,03/02/2025,03/02/2025,03/02/2025,5025845,,FACEBK *ZQ84PKQ2X2,,8,50011,הוצאות פרסום ושיווק,805,שיווק
806442,1747369,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,03/02/2025,03/02/2025,03/02/2025,5025845,,FACEBK *MY78KJL2X2,,77,50011,הוצאות פרסום ושיווק,805,שיווק
806443,1747370,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,03/02/2025,03/02/2025,03/02/2025,5025845,,FACEBK *DGRX3K42X2,,200,50011,הוצאות פרסום ושיווק,805,שיווק
806444,1747371,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,03/02/2025,03/02/2025,03/02/2025,5025845,,FACEBK *S52UZHU2X2,,200,50011,הוצאות פרסום ושיווק,805,שיווק
806445,1747372,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,03/02/2025,03/02/2025,03/02/2025,5025845,,FACEBK *U4RLLJC2X2,,25,50011,הוצאות פרסום ושיווק,805,שיווק
806446,1747373,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,04/02/2025,04/02/2025,04/02/2025,5025845,,FACEBK *U24X4K42X2,,300,50011,הוצאות פרסום ושיווק,805,שיווק
806447,1747374,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,04/02/2025,04/02/2025,04/02/2025,5025845,,FACEBK *CZGJMJC2X2,,200,50011,הוצאות פרסום ושיווק,805,שיווק
806448,1747375,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,04/02/2025,04/02/2025,04/02/2025,6025845,,FACEBK *DVT4MJL2X2,,363,50011,הוצאות פרסום ושיווק,805,שיווק
806449,1747376,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,04/02/2025,04/02/2025,04/02/2025,6025845,,FACEBK *SSSZ2JU2X2,,330,50011,הוצאות פרסום ושיווק,805,שיווק
806450,1747377,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,05/02/2025,05/02/2025,05/02/2025,6025845,,FACEBK *RDR9PJC2X2,,400,50011,הוצאות פרסום ושיווק,805,שיווק
806451,1747378,9997,,80012,30068,META/ פייסבוק,הוצאות פייסבוק,05/02/2025,05/02/2025,05/02/2025,7025845,,FACEBK *WLKQPJC2X2,,440,50011,הוצאות פרסום ושיווק,805,שיווק
